2023-08-16 10:01:28 | INFO | model_worker | args: Namespace(host='172.27.118.4', port=21002, worker_address='http://localhost:21002', controller_address='http://172.27.118.4:21001', model_path='./models/lmsysvicuna_13b_v1.5', device='cuda', gpus=None, num_gpus=1, max_gpu_memory=None, load_8bit=True, cpu_offloading=False, gptq_ckpt=None, gptq_wbits=16, gptq_groupsize=-1, gptq_act_order=False, model_names=['vicuna-13b'], limit_model_concurrency=5, stream_interval=2, no_register=False)
2023-08-16 10:01:28 | INFO | model_worker | Loading the model ['vicuna-13b'] on worker 7c3a29 ...
2023-08-16 10:01:32 | ERROR | stderr |   0%|                                                                                             | 0/3 [00:00<?, ?it/s]
2023-08-16 10:08:25 | ERROR | stderr |  33%|████████████████████████████                                                        | 1/3 [06:53<13:47, 413.68s/it]
2023-08-16 10:11:38 | ERROR | stderr |  67%|████████████████████████████████████████████████████████                            | 2/3 [10:06<04:43, 283.96s/it]
2023-08-16 10:16:30 | ERROR | stderr | 100%|████████████████████████████████████████████████████████████████████████████████████| 3/3 [14:57<00:00, 287.20s/it]
2023-08-16 10:16:30 | ERROR | stderr | 100%|████████████████████████████████████████████████████████████████████████████████████| 3/3 [14:58<00:00, 299.33s/it]
2023-08-16 10:16:30 | ERROR | stderr | 
2023-08-16 10:16:30 | INFO | model_worker | Register to controller
2023-08-16 10:16:32 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m144[0m]
2023-08-16 10:16:32 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2023-08-16 10:16:32 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2023-08-16 10:16:32 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://172.27.118.4:21002[0m (Press CTRL+C to quit)
2023-08-16 10:17:16 | INFO | model_worker | Send heart beat. Models: ['vicuna-13b']. Semaphore: None. global_counter: 0. worker_id: 7c3a29. 
2023-08-16 10:18:01 | INFO | model_worker | Send heart beat. Models: ['vicuna-13b']. Semaphore: None. global_counter: 0. worker_id: 7c3a29. 
2023-08-16 10:18:46 | INFO | model_worker | Send heart beat. Models: ['vicuna-13b']. Semaphore: None. global_counter: 0. worker_id: 7c3a29. 
2023-08-16 10:19:31 | INFO | model_worker | Send heart beat. Models: ['vicuna-13b']. Semaphore: None. global_counter: 0. worker_id: 7c3a29. 
2023-08-16 10:20:16 | INFO | model_worker | Send heart beat. Models: ['vicuna-13b']. Semaphore: None. global_counter: 0. worker_id: 7c3a29. 
